Name;Formula;Family;Molar mass;Head Family;Head;Cyclic Head (Y/N);Sugar number in head;Carbon number;Saturated;Total  Number of Ramified Carbons;Multichain;JunTyp;Jun Direction;CMC (mM);Surface tension (CMC);Amin;Efficiency C20;Nagg
 5-S-decyl-5-thio-D-Ribitol;C15H32O4S;Itols;308,48;Ribose;Ribitol;N;1;10;Y;0;N;Thioether;0;;36,80;;;
 5-S-Decyl 5-Thio-D-Xylitol;C15H32O4S;Itols;308,48;Xylose;Xylitol;N;1;10;Y;0;N;Thioether;0;0,40;28,20;45,7;0,004;
5-S-Decyl 5-Thio-D-Arabinonolactone;C15H28O4S;Lactones;304,45;Arabinose;Arabinonolactone;Y;1;10;Y;0;N;Thioether;0;0,033;28,00;33,2;0,004;
5-S-Decyl 5-Thio-D-Ribonolactone;C15H28O4S;Lactones;304,45;Ribose;Ribonolactone;Y;1;10;Y;0;N;Thioether;0;;;;;
5-S-Decyl 5-Thio-D-Xylonolactone;C15H28O4S;Lactones;304,45;Xylose;Xylonolactone;Y;1;10;Y;0;N;Thioether;0;0,023;29,50;33,6;0,004;
1-S-Decyl-1-Thio-D,L-Xylitol;C15H32O4S;Itols;308,48;Xylose;Xylitol;N;1;10;Y;0;N;Thioether;0;;;;;
 5-S-Dodecyl-5-Thio-D-Arabinitol;C17H36O4S;Itols;336,53;Arabinose/Lyxose;Arabinitol;N;1;12;Y;0;N;Thioether;0;;;;;
5-S-Dodecyl-5-thio-D-Ribitol;C17H36O4S;Itols;336,53;Ribose;Ribitol;N;1;12;Y;0;N;Thioether;0;;;;;
5-S-Dodecyl 5-Thio-D-Xylitol;C17H36O4S;Itols;336,53;Xylose;Xylitol;N;1;12;Y;0;N;Thioether;0;;;;;
5-S-Dodecyl 5-Thio-D-Arabinonolactone;C17H32O4S;Lactones;332,5;Arabinose;Arabinonolactone;Y;1;12;Y;0;N;Thioether;0;;33,80;;;
5-S-Dodecyl 5-Thio-D-Ribonolactone;C17H32O4S;Lactones;332,5;Ribose;Ribonolactone;Y;1;12;Y;0;N;Thioether;0;;;;;
5-S-Dodecyl 5-Thio-D-Xylonolactone;C17H32O4S;Lactones;332,5;Xylose;Xylonolactone;Y;1;12;Y;0;N;Thioether;0;;31,00;;;
1-S-Dodecyl-1-Thio-D,L-Xylitol;C17H36O4S;Itols;336,53;Xylose;Xylitol;N;1;12;Y;0;N;Thioether;0;;;;;
1-S-Heptyl-1-Thio-D,L-Xylitol;C12H26O4S;Itols;266,4;Xylose;Xylitol;N;1;7;Y;0;N;Thioether;0;;;;;
1-S-Hexadecyl-1-Thio-D,L-Xylitol;C21H44O4S;Itols;392,64;Xylose;Xylitol;N;1;16;Y;0;N;Thioether;0;;;;;
5-S-Hexyl-5-Thio-D-Arabinitol;C11H24O4S;Itols;252,37;Arabinose/Lyxose;Arabinitol;N;1;6;Y;0;N;Thioether;0;18;30,00;66,2;0,56;
 5-S-hexyl-5-thio-D-Ribitol;C11H24O4S;Itols;252,37;Ribose;Ribitol;N;1;6;Y;0;N;Thioether;0;10,2;27,20;65,9;0,20;
5-S-Hexyl 5-Thio-D-Xylitol;C11H24O4S;Itols;252,37;Xylose;Xylitol;N;1;6;Y;0;N;Thioether;0;11,6;28,20;71,3;0,22;
5-S-Hexyl 5-Thio-D-Arabinonolactone;C11H20O4S;Lactones;248,34;Arabinose;Arabinonolactone;Y;1;6;Y;0;N;Thioether;0;6,7;25,10;49,5;0,44;
5-S-Hexyl 5-Thio-D-Ribonolactone;C11H20O4S;Lactones;248,34;Ribose;Ribonolactone;Y;1;6;Y;0;N;Thioether;0;;42,40;;;
5-S-Hexyl 5-Thio-D-Xylonolactone;C11H20O4S;Lactones;248,34;Xylose;Xylonolactone;Y;1;6;Y;0;N;Thioether;0;5,0;26,30;40,3;0,42;
1-S-Hexyl-1-Thio-D,L-Xylitol;C11H24O4S;Itols;252,37;Xylose;Xylitol;N;1;6;Y;0;N;Thioether;0;16;;34,0;2,0;
1-S-Nonyl-1-Thio-D,L-Xylitol;C14H30O3S;Itols;294,45;Xylose;Xylitol;N;1;9;Y;0;N;Thioether;0;;;;;
1-S-Octadecyl-1-Thio-D,L-Xylitol;C23H48O4S;Itols;420,69;Xylose;Xylitol;N;1;18;Y;0;N;Thioether;0;;;;;
